gene,entrez,rho,p,chr,start,end,cytoband,on_19p13_3,dist_to_LONP1_Mb,rank
PRDX2,7001,0.5227562766878024,5.091487980301382e-22,19,12796817.0,12801882.0,19p13.13,False,7.104972,36
XAB2,56949,0.5222249112521737,5.697764732733357e-22,19,7619523.0,7629573.0,19p13.2,False,1.927678,37
NDUFS7,374291,0.520131088242551,8.859342993533695e-22,19,1383527.0,1395590.0,19p13.3,True,-4.308318,38
SAFB,6294,0.5184632075772404,1.2564820163909673e-21,19,5622963.0,5668478.0,19p13.3,True,-0.068882,39
FBXW9,84261,0.5182871876117834,1.3035360547825951e-21,19,12687801.0,12696659.0,19p13.13,False,6.995956,40
SLX9,85395,0.5118965177324473,4.881901766034567e-21,21,44939938.0,44977014.0,21q22.3,False,,41
PLEKHJ1,55111,0.5112689374934332,5.5495341941186986e-21,19,2229981.0,2237704.0,19p13.3,True,-3.461864,42
CCDC124,115098,0.5110863064494613,5.760161263069464e-21,19,17932588.0,17944914.0,19p13.11,False,12.240743,43
HMG20B,10362,0.5087623942965281,9.235242786711808e-21,19,3572692.0,3579088.0,19p13.3,True,-2.119153,44
RAVER1,125950,0.5051050512181503,1.9272567821741127e-20,19,10316212.0,10333548.0,19p13.2,False,4.624367,45
NDUFA13,51079,0.504264972026874,2.279212734776563e-20,19,19515728.0,19529054.0,19p13.11,False,13.823883,46
DOHH,83475,0.5035660865838787,2.619593460138926e-20,19,3490821.0,3507203.0,19p13.3,True,-2.201024,47
NDUFA7,4701,0.5022051488496133,3.4320115318852306e-20,19,8308593.0,8321400.0,19p13.2,False,2.616748,48
ATP5F1D,513,0.5020597051222873,3.532280825268589e-20,19,1241734.0,1244828.0,19p13.3,True,-4.450111,49
BABAM1,29086,0.5007276908565242,4.59532014418978e-20,19,17267343.0,17281249.0,19p13.11,False,11.575498,50
ARMC6,93436,0.5005079905508799,4.798591481524316e-20,19,19033575.0,19060311.0,19p13.11,False,13.34173,51
MED16,10025,0.49793391990914493,7.949685824738501e-20,19,867630.0,893222.0,19p13.3,True,-4.824215,52
RRP9,9136,0.49434788203474833,1.59480426387202e-19,3,51933425.0,51941946.0,3p21.2,False,,53
YJU2,55702,0.49357769138777163,1.8500512066654248e-19,19,4247062.0,4269091.0,19p13.3,True,-1.444783,54
MPND,84954,0.49330663716866396,1.949109824915238e-19,19,4343527.0,4360086.0,19p13.3,True,-1.348318,55
ABHD17A,81926,0.4913955632579867,2.8117646553037787e-19,19,1876810.0,1885618.0,19p13.3,True,-3.815035,56
C19ORF25,148223,0.48687500221353075,6.6295176627183e-19,19,1461143.0,1479565.0,19p13.3,True,-4.230702,57
EEF2,1938,0.4852877530951063,8.932475477716624e-19,19,3976044.0,3985479.0,19p13.3,True,-1.715801,58
TCF3,6929,0.48136419605153336,1.8543364408502523e-18,19,1609291.0,1652911.0,19p13.3,True,-4.082554,59
GADD45GIP1,90480,0.47908856838275315,2.8204185662802815e-18,19,12950701.0,12957333.0,19p13.13,False,7.258856,60
KXD1,79036,0.4785979319129746,3.086051725595809e-18,19,18557683.0,18569387.0,19p13.11,False,12.865838,61
APBA3,9546,0.4778041302713021,3.5687295834118375e-18,19,3750772.0,3761700.0,19p13.3,True,-1.941073,62
PIN1,5300,0.4764328036993707,4.583045728441983e-18,19,9835257.0,9849690.0,19p13.2,False,4.143412,63
RPL18A,6142,0.4755761968118074,5.355132020574312e-18,19,17859868.0,17871283.0,19p13.11,False,12.168023,64
UQCRC1,7384,0.4745675351184032,6.429037962133606e-18,3,48598990.0,48610976.0,3p21.31,False,,65
CHAF1A,10036,0.4734928806948243,7.80597764753194e-18,19,4402522.0,4445018.0,19p13.3,True,-1.289323,66
QTRT1,81890,0.47345309616876197,7.862158170563855e-18,19,10701430.0,10713747.0,19p13.2,False,5.009585,67
FDX2,112812,0.47161852188089903,1.0932493596825051e-17,19,10309898.0,10316026.0,19p13.2,False,4.618053,68
SPPL2B,56928,0.4706023046691923,1.3111722043805629e-17,19,2328346.0,2355100.0,19p13.3,True,-3.363499,69
MRPS2,51116,0.4705649992975729,1.3199353217316736e-17,9,135499970.0,135504676.0,9q34.3,False,,70
ZNF653,115950,0.46968667029488953,1.543698300587991e-17,19,11483134.0,11505839.0,19p13.2,False,5.791289,71
MLLT1,4298,0.4688234523288114,1.7997490634422113e-17,19,6210377.0,6280029.0,19p13.3,True,0.518532,72
DDX49,54555,0.4682534829168551,1.9912075072527276e-17,19,18919667.0,18929189.0,19p13.11,False,13.227822,73
MRPL4,51073,0.4666757962512824,2.6315948090548088e-17,19,10251901.0,10260060.0,19p13.2,False,4.560056,74
STUB1,10273,0.46534838612948504,3.3237407498747563e-17,16,679980.0,682870.0,16p13.3,False,,75
POLD2,5425,0.4652161645591887,3.401763859369517e-17,7,44114631.0,44124407.0,7p13,False,,76
RPSA,3921,0.46497816573265505,3.54676010189448e-17,3,39406709.0,39426255.0,3p22.1,False,,77
GRHPR,9380,0.4636482764564147,4.475751236732427e-17,9,37422660.0,37463037.0,9p13.2,False,,78
ALYREF,10189,0.4628517595503522,5.1424314466702965e-17,17,81887830.0,81891835.0,17q25.3,False,,79
TMEM259,91304,0.46218120730099177,5.778469121633576e-17,19,1009615.0,1021270.0,19p13.3,True,-4.68223,80
ATP13A1,57130,0.46046846574575917,7.774386414475381e-17,19,19645196.0,19663700.0,19p13.11,False,13.953351,81
APEH,327,0.4594763317486421,9.225218261850009e-17,3,49673818.0,49683973.0,3p21.31,False,,82
COPE,11316,0.45813322031537207,1.16196041842114e-16,19,18899511.0,18919407.0,19p13.11,False,13.207666,83
MRPL34,64981,0.45801433895707877,1.1858788031192473e-16,19,17292543.0,17306847.0,19p13.11,False,11.600698,84
RPSA2,388524,0.4552164360856277,1.911221819596162e-16,19,23762944.0,23871162.0,19p12,False,18.071099,85
BTBD2,55643,0.45385502613146833,2.4070223307076067e-16,19,1985438.0,2034881.0,19p13.3,True,-3.706407,86
ZNF414,84330,0.4535282499648786,2.543648011643732e-16,19,8509678.0,8514177.0,19p13.2,False,2.817833,87
POC1A,25886,0.45348138214040745,2.563856953405964e-16,3,52074590.0,52154746.0,3p21.2,False,,88
CSNK1G2,1455,0.45145567685048216,3.6052337357610693e-16,19,1940915.0,1981339.0,19p13.3,True,-3.75093,89
FKBP8,23770,0.4510387066841546,3.8661969764108877e-16,19,18531751.0,18544264.0,19p13.11,False,12.839906,90
IFRD2,7866,0.4503714599740515,4.3228031254834124e-16,3,50286003.0,50292918.0,3p21.31,False,,91
SLC25A26,115286,0.44889246726630727,5.531590559175204e-16,3,66133610.0,66388116.0,3p14.1,False,,92
SUGP1,57794,0.4481743388626348,6.232439436695262e-16,19,19276018.0,19320511.0,19p13.11,False,13.584173,93
MRPL12,6182,0.4460884255362352,8.79937337483822e-16,17,81703357.0,81711112.0,17q25.3,False,,94
PMPCA,23203,0.4460237314107688,8.89367349329764e-16,9,136410630.0,136428006.0,9q34.3,False,,95
PRR22,163154,0.4455482059775955,9.617873388996105e-16,19,5782960.0,5784752.0,19p13.3,True,0.091115,96
NDUFB7,4713,0.44554631709801984,9.620862238240578e-16,19,14566078.0,14572079.0,19p13.12,False,8.874233,97
NTMT1,28989,0.44496879216776086,1.0578711501984515e-15,9,129587810.0,129636744.0,9q34.11,False,,98
EXOSC4,54512,0.4412292828278416,1.9473429088594228e-15,8,144078560.0,144081408.0,8q24.3,False,,99
KLF16,83855,0.4407990905044843,2.087952871096936e-15,19,1852399.0,1863919.0,19p13.3,True,-3.839446,100
LSM4,25804,0.43999926805916445,2.376298132524015e-15,19,18306231.0,18323112.0,19p13.11,False,12.614386,101
RAD23A,5886,0.4381390758420566,3.2062118587579998e-15,19,12945716.0,12953646.0,19p13.13,False,7.253871,102
PPAN,56342,0.43696560940567586,3.869448682501677e-15,19,10106300.0,10112813.0,19p13.2,False,4.414455,103
DAZAP1,26528,0.43592153122022803,4.571277683252119e-15,19,1407533.0,1435687.0,19p13.3,True,-4.284312,104
RPL29,6159,0.4355040888340065,4.885514757419885e-15,3,51993522.0,51996021.0,3p21.2,False,,105
SF3A2,8175,0.43397267971803755,6.230057315131376e-15,19,2236813.0,2248677.0,19p13.3,True,-3.455032,106
PDXP,57026,0.43393442990663034,6.267903896874868e-15,22,37658715.0,37666934.0,22q13.1,False,,107
DHX30,22907,0.433689347781688,6.515800545895755e-15,3,47802641.0,47851617.0,3p21.31,False,,108
UBA52,7311,0.4312253043752353,9.60675826760506e-15,19,18571722.0,18577550.0,19p13.11,False,12.879877,109
OAZ1,4946,0.43057187009702935,1.0642913175761856e-14,19,2269509.0,2273492.0,19p13.3,True,-3.422336,110
GPX4,2879,0.43044425267069863,1.0857681642936692e-14,19,1103982.0,1106791.0,19p13.3,True,-4.587863,111
RAB11B,9230,0.4301141709648515,1.143304977327182e-14,19,8389981.0,8405875.0,19p13.2,False,2.698136,112
IMPDH2,3615,0.42937325795129755,1.2835391836573993e-14,3,49024315.0,49029452.0,3p21.31,False,,113
CHCHD2,51142,0.4286932613040588,1.4269767949040103e-14,7,56094567.0,56106531.0,7p11.2,False,,114
RACK1,10399,0.4281752360804332,1.5466662991352697e-14,5,181235391.0,181248096.0,5q35.3,False,,115
MAP1S,55201,0.4277662936523021,1.6480419431562265e-14,19,17719242.0,17734515.0,19p13.11,False,12.027397,116
SNAPC2,6618,0.4266296603676468,1.96519992642282e-14,19,7920314.0,7923250.0,19p13.2,False,2.228469,117
MDH2,4191,0.4253929164654813,2.3782201153766205e-14,7,76048037.0,76067508.0,7q11.23,False,,118
UQCC5,440957,0.42493710621287906,2.5509379523892225e-14,3,52533950.0,52579237.0,3p21.1,False,,119
PES1,23481,0.4245566150333564,2.704464853054154e-14,22,30576624.0,30607083.0,22q12.2,False,,120
DAPK3,1613,0.4243063384895811,2.8103417916375236e-14,19,3958453.0,3971130.0,19p13.3,True,-1.733392,121
RABL6,55684,0.4236967026065358,3.08550314716348e-14,9,136807848.0,136841187.0,9q34.3,False,,122
TEX264,51368,0.42342281506806456,3.217544753513442e-14,3,51662693.0,51704323.0,3p21.2,False,,123
MIF,4282,0.42287551221101616,3.498170987563511e-14,22,23894372.0,23895227.0,22q11.23,False,,124
SF3B5,83443,0.42231168165768074,3.812285466425118e-14,6,144094884.0,144095573.0,6q24.2,False,,125
ELAVL1,1994,0.4216340461099115,4.226445819232026e-14,19,7958573.0,8006062.0,19p13.2,False,2.266728,126
BRAT1,221927,0.4213672418698491,4.4013183460741e-14,7,2537784.0,2555782.0,7p22.3,False,,127
P2RY11,5032,0.4212378536189162,4.4886529276166e-14,19,10111689.0,10118085.0,19p13.2,False,4.419844,128
RRP1,8568,0.4203291844880487,5.151579570810273e-14,21,43789513.0,43821500.0,21q22.3,False,,129
STXBP2,6813,0.4191766137819737,6.131459065545694e-14,19,7636772.0,7647875.0,19p13.2,False,1.944927,130
AP3D1,8943,0.4190755587246757,6.225590754150105e-14,19,2100982.0,2164468.0,19p13.3,True,-3.590863,131
SLC25A38,54977,0.4187091160869971,6.578931551367942e-14,3,39383292.0,39397426.0,3p22.1,False,,132
NHP2,55651,0.41837242330263513,6.920828397230098e-14,5,178139872.0,178153968.0,5q35.3,False,,133
MLST8,64223,0.4179182658196616,7.409657605442135e-14,16,2204248.0,2209453.0,16p13.3,False,,134
RFXANK,8625,0.41667762610337133,8.92359103581525e-14,19,19191957.0,19202844.0,19p13.11,False,13.500112,135
PNPLA6,10908,0.41571099198052563,1.030904833292533e-13,19,7534004.0,7561764.0,19p13.2,False,1.842159,136
RAB3A,5864,0.4149507179513212,1.154450616101059e-13,19,18196752.0,18204055.0,19p13.11,False,12.504907,137
SLC4A5,57835,0.413692842208903,1.3913393720459303e-13,2,74216242.0,74343416.0,2p13.1,False,,138
RPS9,6203,0.4135963912955707,1.411348939762779e-13,19,54200466.0,54249003.0,19q13.42,False,48.508621,139
ELP6,54859,0.41343394765206365,1.4456868942694893e-13,3,47490710.0,47513738.0,3p21.31,False,,140
FZR1,51343,0.41325922629131484,1.4835317606514295e-13,19,3506270.0,3538334.0,19p13.3,True,-2.185575,141
SLC19A1,6573,0.4122812588910152,1.7139287694892558e-13,21,45493572.0,45573564.0,21q22.3,False,,142
GCDH,2639,0.4112008197737358,2.0091903085414514e-13,19,12891128.0,12915261.0,19p13.13,False,7.199283,143
TRAPPC5,126003,0.4104844621946656,2.2317819784572062e-13,19,7680823.0,7687703.0,19p13.2,False,1.988978,144
RPL14,9045,0.41026251884452514,2.305510332941344e-13,3,40457292.0,40468587.0,3p22.1,False,,145
TRAP1,10131,0.4095966887941038,2.54126757006557e-13,16,3651639.0,3717595.0,16p13.3,False,,146
VPS51,738,0.4088987477908963,2.8136641550454166e-13,11,65089324.0,65111862.0,11q13.1,False,,147
RPL23A,6147,0.4082570009550648,3.089177654638236e-13,17,28719940.0,28724365.0,17q11.2,False,,148
MPV17L2,84769,0.40598184550617844,4.295145377260378e-13,19,18193197.0,18196948.0,19p13.11,False,12.501352,149
STK11,6794,0.40570606908813156,4.469446742945439e-13,19,1177558.0,1228431.0,19p13.3,True,-4.514287,150
STOML2,30968,0.4056229583868024,4.5233175805998145e-13,9,35099469.0,35103195.0,9p13.3,False,,151
ECSIT,51295,0.40547279246053713,4.622265189280725e-13,19,11505916.0,11540137.0,19p13.2,False,5.814071,152
CDC37,11140,0.40526690458678993,4.7613729108627e-13,19,10391090.0,10420224.0,19p13.2,False,4.699245,153
MRPL37,51253,0.40524990467060895,4.773039925793801e-13,1,54184041.0,54225489.0,1p32.3,False,,154
AKAP8L,26993,0.40496610051436555,4.971989232007236e-13,19,15380046.0,15419141.0,19p13.12,False,9.688201,155
NAA38,84316,0.4046969351748335,5.168148211443331e-13,17,7856681.0,7885238.0,17p13.1,False,,156
GET3,439,0.40408954233628436,5.638982351744456e-13,19,12737139.0,12748325.0,19p13.13,False,7.045294,157
SCAMP4,113178,0.4032382479225276,6.370043047738599e-13,19,1905214.0,1926013.0,19p13.3,True,-3.786631,158
TACC3,10460,0.40297758254108607,6.611848492888708e-13,4,1712858.0,1745178.0,4p16.3,False,,159
ADAT3,113179,0.4025233070031391,7.054850869430003e-13,19,1905214.0,1913448.0,19p13.3,True,-3.786631,160
RPSAP9,653162,0.4010126755625024,8.746592794917393e-13,9,76398699.0,76399586.0,9q21.13,False,,161
SAMM50,25813,0.4005985387155383,9.27573856056732e-13,22,43955399.0,44010531.0,22q13.31,False,,162
PHB1,5245,0.4004885114802559,9.421496579246554e-13,17,49404009.0,49436245.0,17q21.33,False,,163
RNF126,55658,0.40018723518793764,9.832150782082755e-13,19,647526.0,663336.0,19p13.3,True,-5.044319,164
LMNB2,84823,0.39995962519907025,1.0153931810938753e-12,19,2427638.0,2456992.0,19p13.3,True,-3.264207,165
INTS1,26173,0.39907657399744767,1.1502524906177717e-12,7,1469895.0,1504418.0,7p22.3,False,,166
BSG,682,0.3977685248913009,1.3826856672914218e-12,19,571277.0,583498.0,19p13.3,True,-5.120568,167
MRPL41,64975,0.3963646151466892,1.6831449751797909e-12,9,137550424.0,137552555.0,9q34.3,False,,168
CCT7,10574,0.3955991466986517,1.872899462115025e-12,2,73233420.0,73253282.0,2p13.2,False,,169
HNRNPM,4670,0.39351370559214605,2.5020880175490838e-12,19,8444767.0,8489118.0,19p13.2,False,2.752922,170
CMC1,152100,0.39310393677920064,2.647981935510929e-12,3,28241584.0,28334648.0,3p24.1,False,,171
RPS21,6227,0.39265178623077623,2.8186013352354013e-12,20,62365598.0,62388680.0,20q13.33,False,,172
PTBP1,5725,0.3925401062258651,2.8623683480532013e-12,19,797075.0,812327.0,19p13.3,True,-4.89477,173
ASPSCR1,79058,0.39236255154575284,2.9333197913372494e-12,17,81976807.0,82018698.0,17q25.3,False,,174
NPRL2,10641,0.3923545238075562,2.9365679170459547e-12,3,50347330.0,50350826.0,3p21.31,False,,175
MRPS24,64951,0.39189505385077616,3.128439655676966e-12,7,43866556.0,43869893.0,7p13,False,,176
GPS1,2873,0.391848186026305,3.1486852522778184e-12,17,82050691.0,82058063.0,17q25.3,False,,177
KIF9,64147,0.39122816130559357,3.4288525345766247e-12,3,47227426.0,47283451.0,3p21.31,False,,178
PHB2,11331,0.3905144009359398,3.781544111980871e-12,12,6965327.0,6970841.0,12p13.31,False,,179
MRPS25,64432,0.3900307297095966,4.040400182763205e-12,3,15009611.0,15065339.0,3p25.1,False,,180
PRELID1,27166,0.3896812869880989,4.238090474244856e-12,5,177303787.0,177306958.0,5q35.3,False,,181
PDF,64146,0.38965909265308485,4.250960189557705e-12,16,69321991.0,69330613.0,16q22.1,False,,182
RPL37A,6168,0.3894980656692596,4.345482311307715e-12,2,216498797.0,216580097.0,2q35,False,,183
RPL32,6161,0.38822684971483823,5.1671964940182366e-12,3,12834467.0,12841587.0,3p25.2,False,,184
PTGES2,80142,0.3875119087954497,5.693976153695327e-12,9,128120693.0,128128462.0,9q34.11,False,,185
TUFM,7284,0.3851719411661234,7.810769059872016e-12,16,28841618.0,28846419.0,16p11.2,False,,186
NDUFS8,4728,0.38487078292877863,8.133599638492868e-12,11,68030617.0,68036649.0,11q13.2,False,,187
C19ORF48P,84798,0.38466347839534953,8.363342231459465e-12,19,50798194.0,50798910.0,19q13.33,False,45.106349,188
ELOF1,84337,0.38456856219667246,8.470631370957052e-12,19,11551147.0,11559325.0,19p13.2,False,5.859302,189
NOC4L,79050,0.3833451585065102,9.979537664118288e-12,12,132144408.0,132152473.0,12q24.33,False,,190
GARS1,2617,0.38274945311033537,1.0806122820215475e-11,7,30580533.0,30634033.0,7p14.3,False,,191
PAM16,51025,0.3811832177771901,1.3310698733624682e-11,16,4330378.0,4355607.0,16p13.3,False,,192
TRAIP,10293,0.3809116913381886,1.3798965266407852e-11,3,49828595.0,49856597.0,3p21.31,False,,193
PGLS,25796,0.38086871932784216,1.3877821377940835e-11,19,17511607.0,17521288.0,19p13.11,False,11.819762,194
SLC25A39,51629,0.3806991923859264,1.4193218016806248e-11,17,44316821.0,44326639.0,17q21.31,False,,195
TIMM22,29928,0.3806812480299576,1.4227008524917253e-11,17,997090.0,1003671.0,17p13.3,False,,196
GATD3,8209,0.38060522062703717,1.4371045171056518e-11,21,44133610.0,44210114.0,21q22.3,False,,197
MVB12A,93343,0.3804309714861822,1.4706546932400287e-11,19,17405722.0,17436364.0,19p13.11,False,11.713877,198
TMED1,11018,0.37979441906918376,1.5998270877034006e-11,19,10832067.0,10836330.0,19p13.2,False,5.140222,199
DCTPP1,79077,0.37903272838029756,1.7689639506643544e-11,16,30413033.0,30430162.0,16p11.2,False,,200
MFSD12,126321,0.37839806484287475,1.9230900355878778e-11,19,3538261.0,3574290.0,19p13.3,True,-2.153584,201
RPL41,6171,0.3778369495539293,2.0701913832156724e-11,12,56116585.0,56117967.0,12q13.2,False,,202
ABHD8,79575,0.37782290101208527,2.0740115034653823e-11,19,17292131.0,17310236.0,19p13.11,False,11.600286,203
LPAR2,9170,0.3778177065932522,2.0754257228396184e-11,19,19623639.0,19628930.0,19p13.11,False,13.931794,204
RPL27,6155,0.37717879307678415,2.2567289417825495e-11,17,42998265.0,43002973.0,17q21.31,False,,205
ARL6IP4,51329,0.37715140432293703,2.2648363064738253e-11,12,122980045.0,122983480.0,12q24.31,False,,206
MCRIP2,84331,0.37706404364256263,2.2908859938680984e-11,16,636817.0,648475.0,16p13.3,False,,207
USE1,55850,0.3770366548887155,2.299112838080367e-11,19,17215337.0,17220245.0,19p13.11,False,11.523492,208
TPI1,7167,0.37694268312982626,2.3275587218517305e-11,12,6867119.0,6878513.0,12p13.31,False,,209
NCKIPSD,51517,0.37642890788524586,2.4892464763378535e-11,3,48662986.0,48686364.0,3p21.31,False,,210
OGFOD3,79701,0.3762008256764845,2.5644830219286997e-11,17,82389210.0,82418637.0,17q25.3,False,,211
DDX39A,10212,0.3760091043995547,2.6294344411046888e-11,19,14408798.0,14419385.0,19p13.12,False,8.716953,212
TRMT1,55621,0.3758716884104252,2.6769709910407976e-11,19,13104899.0,13117567.0,19p13.13,False,7.413054,213
ADSL,158,0.37463825004751716,3.142858599626271e-11,22,40346461.0,40390463.0,22q13.1,False,,214
DENND1A,57706,0.37455088936714276,3.178696059030295e-11,9,123379648.0,123930154.0,9q33.3,False,,215
SRRT,51593,0.37378069872016606,3.512350082609479e-11,7,100875065.0,100888664.0,7q22.1,False,,216
RPL26L1,51121,0.3736149495374016,3.588490051741266e-11,5,172954004.0,172974768.0,5q35.1,False,,217
SLC33A2,113655,0.3727956480214577,3.9890837823859375e-11,8,144508263.0,144511317.0,8q24.3,False,,218
DDX41,51428,0.372765898168141,4.004420223479704e-11,5,177511569.0,177516979.0,5q35.3,False,,219
EXOSC7,23016,0.3725491492368336,4.1179026201785134e-11,3,44975241.0,45036071.0,3p21.31,False,,220
HDHD5,27440,0.371941402233364,4.4530500592895545e-11,22,17132107.0,17165287.0,22q11.1,False,,221
TBRG4,9238,0.37118962816225,4.904494513364934e-11,7,45097497.0,45112048.0,7p13,False,,222
BNIP1,662,0.3704736247481002,5.375699362572001e-11,5,173144442.0,173164397.0,5q35.1,False,,223
NPRL3,8131,0.3696699064886555,5.957167279798839e-11,16,79387.0,138720.0,16p13.3,False,,224
PIH1D1,55011,0.369484914345214,6.099427370069646e-11,19,49446291.0,49453537.0,19q13.33,False,43.754446,225
NTHL1,4913,0.3687591123682654,6.690187825267955e-11,16,2039814.0,2047866.0,16p13.3,False,,226
SCAP,22937,0.3686335018764838,6.797927705160084e-11,3,47413681.0,47477126.0,3p21.31,False,,227
TSSC4,10078,0.36792611647539797,7.436930938258311e-11,11,2400488.0,2403878.0,11p15.5,False,,228
DDX54,79039,0.3678121934259907,7.54516099000351e-11,12,113157173.0,113185508.0,12q24.13,False,,229
NUDC,10726,0.3677268396801655,7.627251936935079e-11,1,26900238.0,26946886.0,1p36.11,False,,230
NELFB,25920,0.36768670098918266,7.666155994990487e-11,9,137255210.0,137273542.0,9q34.3,False,,231
RPS5,6193,0.36764845117777545,7.703408864053775e-11,19,58380570.0,58394810.0,19q13.43,False,52.688725,232
YIF1A,10897,0.3672069255769642,8.146381578686487e-11,11,66284253.0,66289688.0,11q13.2,False,,233
MRM3,55178,0.36712003711648367,8.236426903716677e-11,17,782342.0,792510.0,17p13.3,False,,234
RPL19,6143,0.3668980937663432,8.470851514432634e-11,17,39200282.0,39204840.0,17q12,False,,235
DHODH,1723,0.36628751344351007,9.149756576320315e-11,16,72008588.0,72027664.0,16q22.2,False,,236
MAP2K7,5609,0.36602212586312943,9.461078677339954e-11,19,7903823.0,7914480.0,19p13.2,False,2.211978,237
EIF2S2,8894,0.3659815149522526,9.509618672747579e-11,20,34088309.0,34112284.0,20q11.22,False,,238
CRB3,92359,0.36589037651272693,9.619434818274015e-11,19,6463777.0,6467239.0,19p13.3,True,0.771932,239
RPS14,6208,0.365805376931822,9.722964969987467e-11,5,150429756.0,150449952.0,5q33.1,False,,240
NDUFB11,54539,0.36572132179070505,9.826410141898831e-11,X,47142071.0,47145507.0,Xp11.3,False,,241
FMC1,154791,0.3654512120113852,1.0166127709648963e-10,7,139339457.0,139347031.0,7q34,False,,242
ASNS,440,0.3653024627448017,1.0358058907257206e-10,7,97850162.0,97893143.0,7q21.3,False,,243
ANAPC11,51529,0.36509751931084233,1.0628279740425628e-10,17,81890669.0,81900991.0,17q25.3,False,,244
DDT,1652,0.3650776860752978,1.0654791047852333e-10,22,23891180.0,23980544.0,22q11.23,False,,245
DPH7,92715,0.3650776860752978,1.0654791047852333e-10,9,137554436.0,137578936.0,9q34.3,False,,246
